지자체코드,지자체,기간,목적,출장국,인원,지출,인당지출,비고
4100000,경기본청,2017.03.02 ~ 2017.03.10,지도기획 국제교류 국외연수,"스페인,포르투갈",1,2.0,2.0,
4100000,경기본청,2017.03.04 ~ 2017.03.12,러시아 투자유치 실무단,러시아,3,11.0,3.7,
4100000,경기본청,2017.03.06 ~ 2017.03.08,일본실무방문,일본,3,3.0,1.0,
4100000,경기본청,2017.03.06 ~ 2017.03.11,농산물가공사업 업무추진 역량강화 국외연수,일본,1,2.0,2.0,
4100000,경기본청,2017.03.07 ~ 2017.03.10,민원행정 역량강화를 위한 선진지 국외연수,일본,4,6.0,1.5,
4100000,경기본청,2017.03.08 ~ 2017.03.17,선진 물관리 정책 우수사례 벤치마킹,"미국,캐나다",1,4.0,4.0,
4100000,경기본청,2017.03.12 ~ 2017.03.16,캐나다 BC주 실무단,캐나다,4,10.0,2.5,
4100000,경기본청,2017.03.13 ~ 2017.03.18,황해청 투자유치 실무단,"말레이시아,싱가포르",3,8.0,2.7,
4100000,경기본청,2017.03.14 ~ 2017.03.23,장기재직자 공무국외 연수 1팀,"스위스,이탈리아,프랑스",8,36.0,4.5,
4100000,경기본청,2017.03.21 ~ 2017.03.30,장기재직자 공무국외 연수 2팀,"독일,스위스,이탈리아,프랑스",14,63.0,4.5,
4100000,경기본청,2017.03.28 ~ 2017.04.06,장기재직자 공무국외 연수 3팀,"스위스,이탈리아,프랑스",11,50.0,4.5,
4100000,경기본청,2017.03.29 ~ 2017.04.06,장기재직자 공무국외 연수 4팀,"영국,스위스,이탈리아,프랑스",9,40.0,4.4,
4100000,경기본청,2017.03.30 ~ 2017.04.07,청렴도 우수국가 청렴 및 반부패 정책 벤치마킹 국외연수 A조,"노르웨이,스웨덴,핀란드",3,13.0,4.3,
4100000,경기본청,2017.04.03 ~ 2017.04.10,모범소방공무원 공무국외 연수 1팀,"뉴질랜드,호주",19,39.0,2.1,
4100000,경기본청,2017.04.05 ~ 2017.04.12,모범소방공무원 공무국외 연수 2팀,"오스트리아,체코,헝가리",20,41.0,2.1,
4100000,경기본청,2017.04.06 ~ 2017.04.13,시도 법제업무 담당자 해외연수,"네덜란드,영국",3,16.0,5.3,
4100000,경기본청,2017.04.06 ~ 2017.04.14,청렴도 우수국가 청렴 및 반부패 정책 벤치마킹 국외연수 B조,"덴마크,벨기에,프랑스",4,17.0,4.3,
4100000,경기본청,2017.04.06 ~ 2017.04.14,청렴도 우수국가 청렴 및 반부패 정책 벤치마킹 국외연수 C조,미국,2,9.0,4.5,
4100000,경기본청,2017.04.10 ~ 2017.04.15,지능형로봇 국제공동연구 현장점검,미국,1,3.0,3.0,
4100000,경기본청,2017.04.11 ~ 2017.04.14,안전산업박람회 추진 투자유치 및 홍보 사례수집,대만,1,1.0,1.0,
4100000,경기본청,2017.04.12 ~ 2017.04.14,산업부 주관 국가 IR 실무단,일본,2,2.0,1.0,
4100000,경기본청,2017.04.12 ~ 2017.04.19,모범소방공무원 공무국외 연수 3팀,미국,20,40.0,2.0,
4100000,경기본청,2017.04.12 ~ 2017.04.21,영유아 인성교육 정책 해외연수단,미국,2,9.0,4.5,
4100000,경기본청,2017.04.16 ~ 2017.04.22,태국 투자유치 실무단,태국,3,7.0,2.3,
4100000,경기본청,2017.04.17 ~ 2017.04.19,G-FAIR 도쿄 한국상품 전시 상담회 참가 도 대표단,일본,4,7.0,1.8,
4100000,경기본청,2017.04.17 ~ 2017.04.22,FAO 아태지역사무소 해외연수,태국,1,2.0,2.0,
4100000,경기본청,2017.04.17 ~ 2017.04.24,말라리아 퇴치사업 연수,스리랑카,2,5.0,2.5,
4100000,경기본청,2017.04.18 ~ 2017.04.21,미생물농업 우수사례 발굴,일본,2,3.0,1.5,
4100000,경기본청,2017.04.18 ~ 2017.04.22,NEXT경기 리더 해외현장 연구,UAE,21,56.0,2.7,
4100000,경기본청,2017.04.18 ~ 2017.04.22,경기도 농식품 수출확대를 위한 해외 마케팅 지원 및 시장조사,"베트남,싱가포르",2,5.0,2.5,
4100000,경기본청,2017.04.18 ~ 2017.04.25,모범소방공무원 공무국외 연수 4팀,"오스트리아,체코,헝가리",21,43.0,2.0,
4100000,경기본청,2017.04.19 ~ 2017.04.28,GB 효율적 관리방향과 친환경적 보전 마련을 위한 선진지 연수,"네덜란드,러시아",4,19.0,4.8,
4100000,경기본청,2017.04.19 ~ 2017.04.28,빅데이터 재난안전정보센터 구축을 위한 전담관 정책기획연수,"노르웨이,독일,스웨덴",4,20.0,5.0,
4100000,경기본청,2017.04.19 ~ 2017.04.29,경기만 에코 뮤지엄 활성화를 위한 선진사례 연구 글로벌 정책 체험,"스페인,프랑스,포르투갈",4,20.0,5.0,
4100000,경기본청,2017.04.20 ~ 2017.04.28,미세먼지 대책 국외 연수,"스웨덴,스페인",3,17.0,5.7,
4100000,경기본청,2017.04.22 ~ 2017.04.28,동남아지역 투자유치 실무단 파견,"싱가포르,태국",3,8.0,2.7,
4100000,경기본청,2017.04.23 ~ 2017.04.26,도 실무단 태국 방문,태국,1,1.0,1.0,
4100000,경기본청,2017.04.23 ~ 2017.04.27,동남아지역 투자유치 실무단 파견,태국,1,2.0,2.0,
4100000,경기본청,2017.04.23 ~ 2017.04.28,경기도 태국 관광교류 실무단 파견,태국,2,4.0,2.0,
4100000,경기본청,2017.04.23 ~ 2017.04.28,동남아 신시장 개척을 위한 도 대표단,"싱가포르,태국",6,28.0,4.7,도지사
4100000,경기본청,2017.04.23 ~ 2017.04.29,독일지역 투자유치 황해청 대표단,독일,5,21.0,4.2,
4100000,경기본청,2017.04.24 ~ 2017.04.27,일본 투자유치 실무단,일본,2,3.0,1.5,
4100000,경기본청,2017.04.24 ~ 2017.04.28,인재개발원 제16기 핵심리더과정 항일독립운동지역 역사문화탐방,일본,25,45.0,1.8,
4100000,경기본청,2017.04.24 ~ 2017.04.29,경기도 여성기업 FTA활용 아세안 통상 촉진단 동행 출장,"베트남,태국",1,2.0,2.0,
4100000,경기본청,2017.04.24 ~ 2017.04.29,북한이탈주민 정착지원 실무자 해외워크숍,태국,2,5.0,2.5,
4100000,경기본청,2017.04.25 ~ 2017.04.29,연천BIX 조성 관련 선진해외사례 벤치마킹,"대만,홍콩",1,2.0,2.0,
4100000,경기본청,2017.04.27 ~ 2017.04.30,민족공동체 지원 사업 추진을 위한 중국 출장,중국,2,3.0,1.5,
4100000,경기본청,2017.04.24 ~ 2017.05.01,국외 통일교육 아카데미 대만· 중국반,"중국,대만",10,24.0,2.4,
4100000,경기본청,2017.04.25 ~ 2017.04.29,연천BIX 조성 관련 선진해외사례 벤치마킹,"대만,홍콩",1,2.0,2.0,
4100000,경기본청,2017.04.26 ~ 2017.05.05,모범구조대원 국외 연수,미국,2,8.0,4.0,
4100000,경기본청,2017.04.26 ~ 2017.05.07,도시농업 해외선진사례 비교 연수,"독일,체코",4,20.0,5.0,
4100000,경기본청,2017.04.27 ~ 2017.04.30,민족공동체 지원사업 추진을 위한 중국 출장,중국,2,3.0,1.5,
4100000,경기본청,2017.04.28 ~ 2017.05.03,태국 독일 실무단,"독일,태국",2,13.0,6.5,
4100000,경기본청,2017.04.29 ~ 2017.05.03,태국 독일 실무단,독일,1,4.0,4.0,
4100000,경기본청,2017.05.05 ~ 2017.05.13,밀라노 식품 박람회 전시 참가,이탈리아,2,6.0,3.0,
4100000,경기본청,2017.05.08 ~ 2017.05.11,뭄바이 GFAIR 개최 경기도 방문단,인도,3,9.0,3.0,
4100000,경기본청,2017.05.08 ~ 2017.05.19,중국 밀 유전자원 특성평가 및 우량자원 국제공동연구 추진,중국,1,1.0,1.0,
4100000,경기본청,2017.05.09 ~ 2017.05.12,제8회 동아시아지방정부회합 참가,중국,2,3.0,1.5,
4100000,경기본청,2017.05.10 ~ 2017.05.19,경기융합타운 조성을 위한 선진사례 연구,"네덜란드,독일",4,20.0,5.0,
4100000,경기본청,2017.05.10 ~ 2017.05.19,정주형 관광 활성화를 위한 선진사례 연수,스페인,2,6.0,3.0,
4100000,경기본청,2017.05.11 ~ 2017.05.18,모범소방공무원 공무국외 연수 5팀,"독일,체코,오스트리아",20,40.0,2.0,
4100000,경기본청,2017.05.12 ~ 2017.05.21,장기재직 우수공무원 선진지 공공시설관리 실태 벤치마킹,"뉴질랜드,호주",1,5.0,5.0,
4100000,경기본청,2017.05.12 ~ 2017.05.21,장기재직 우수공무원 선진지 생태환경문화 테마 공간 벤치마킹,"독일,영국,스위스,이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.05.15 ~ 2017.05.20,환경산업 통상 촉진단 파견,"베트남,인도네시아",1,2.0,2.0,
4100000,경기본청,2017.05.17 ~ 2017.05.20,대만 수출유망품목 해외마케팅 지원,대만,1,1.0,1.0,
4100000,경기본청,2017.05.17 ~ 2017.05.25,지방세정 운영 종합평가 우수공무원 국외연수 2팀,뉴질랜드,3,12.0,4.0,
4100000,경기본청,2017.05.17 ~ 2017.05.26,지방세정 운영 종합평가 우수공무원 국외연수 1팀,"영국,영국",3,14.0,4.7,
4100000,경기본청,2017.05.17 ~ 2017.05.26,정원문화산업 진흥 선진사례 조사연구,"독일,영국,프랑스",2,11.0,5.5,
4100000,경기본청,2017.05.18 ~ 2017.05.26,모범공무원 국외 선진지 시찰,"몬테네그로,보스니아헤르체고비나,알바니아,슬로베니아,크로아티아",2,4.0,2.0,
4100000,경기본청,2017.05.19 ~ 2017.05.23,전쟁 및 식민지배 유적을 활용한 역사관광 선진사례 국외연수,괌,2,2.0,1.0,
4100000,경기본청,2017.05.20 ~ 2017.05.23,도 대표단 몽골 방문,몽골,4,5.0,1.3,
4100000,경기본청,2017.05.20 ~ 2017.05.28,장기재직 우수공무원 해외시찰 선진지 환경·문화 테마 공간 벤치마킹 팀 1차,"슬로베니아,오스트리아,크로아티아,헝가리,체코",3,14.0,4.7,
4100000,경기본청,2017.05.21 ~ 2017.05.27,친환경 병해충 방제 정보 수집,"캐나다,쿠바",2,6.0,3.0,
4100000,경기본청,2017.05.21 ~ 2017.05.27,람사르 등록 습지 환경연구,일본,2,5.0,2.5,
4100000,경기본청,2017.05.21 ~ 2017.05.30,장기재직 우수공무원 선진지 환경분야 관리시스템 벤치마킹,"영국,스위스,이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.05.22 ~ 2017.05.25,경기도보건환경연구원 청사신축관련 연구실 안전관리 선진지 견학,일본,3,6.0,2.0,
4100000,경기본청,2017.05.22 ~ 2017.05.26,지진방재대책 및 내진보강기술 관련 일본 벤치마킹,일본,1,2.0,2.0,
4100000,경기본청,2017.05.22 ~ 2017.05.27,2016년 평가 우수부서 기여자 국외연수 A팀,스페인,9,29.0,3.2,
4100000,경기본청,2017.05.22 ~ 2017.05.27,2016년 평가 우수부서 기여자 국외연수 C팀,스페인,12,39.0,3.3,
4100000,경기본청,2017.05.22 ~ 2017.05.28,자원봉사관리자 선진지 자원봉사활동 비교 연수 1차,영국,1,3.0,3.0,
4100000,경기본청,2017.05.22 ~ 2017.05.31,모범 공무원 지역문화재 역사 콘텐츠 활용 모색,"오스트리아,체코",3,8.0,2.7,
4100000,경기본청,2017.05.23 ~ 2017.05.26,도로구조물 안전 유지관리 및 운행제한 차량 시스템 해외 선진사례 조사,일본,7,13.0,1.9,
4100000,경기본청,2017.05.23 ~ 2017.05.26,경기도 녹색생태원 조성사업 현지확인,중국,2,2.0,1.0,
4100000,경기본청,2017.05.23 ~ 2017.05.31,해외 기술혁신기관 벤치마킹,"노르웨이,스웨덴,핀란드",1,5.0,5.0,
4100000,경기본청,2017.05.23 ~ 2017.06.01,모범공무원 문화유산 보존 및 자연환경 이용 선진사례 연수,"독일,체코,보스니아헤르체고비나,헝가리,슬로베니아,오스트리아,크로아티아",2,6.0,3.0,
4100000,경기본청,2017.05.24 ~ 2017.05.26,싱가포르 투자유치 실무단 파견,싱가포르,3,5.0,1.7,
4100000,경기본청,2017.05.24 ~ 2017.05.26,철도 교량하부 내 청년 창업공간 활용 선진사례 국외연수,일본,3,5.0,1.7,
4100000,경기본청,2017.05.24 ~ 2017.05.26,도 투자유치 및 통상 관련 싱가포르 방문단,싱가포르,1,2.0,2.0,
4100000,경기본청,2017.05.24 ~ 2017.05.26,도 실무단 싱가포르 방문,싱가포르,2,3.0,1.5,
4100000,경기본청,2017.05.24 ~ 2017.05.27,지역자원 활용한 도시재생 선진사례 국외연수,일본,2,3.0,1.5,
4100000,경기본청,2017.05.24 ~ 2017.05.31,2016년 평가 우수부서 기여자 국외연수 B팀,"뉴질랜드,호주",10,31.0,3.1,
4100000,경기본청,2017.05.24 ~ 2017.06.02,장기재직 우수공무원 공공시설 내 반려동물 보호시설 선진사례 벤치마킹 팀 2차,"독일,영국,이탈리아,프랑스",2,10.0,5.0,
4100000,경기본청,2017.05.24 ~ 2017.06.02,건전 노사관계 구축을 위한 노사합동 국외연수,"스페인,프랑스",2,8.0,4.0,
4100000,경기본청,2017.05.25 ~ 2017.06.01,장애인복지시설 종사자 및 담당자 국외연수,"미국,캐나다",1,4.0,4.0,
4100000,경기본청,2017.05.25 ~ 2017.06.01,경기행정발전협의회 해외사례 벤치마킹 1팀,캐나다,3,13.0,4.3,
4100000,경기본청,2017.05.25 ~ 2017.06.02,시군 평가총괄담당자 국외연수,"영국,프랑스",1,4.0,4.0,
4100000,경기본청,2017.05.25 ~ 2017.06.04,미래교육 발전적 운영모델 개발 및 인프라 조성 해외벤치마킹,"영국,스페인,영국",4,22.0,5.5,
4100000,경기본청,2017.05.26 ~ 2017.06.02,장기재직 우수공무원 패션·문화· 관광분야 트렌드 벤치마킹,"영국,스위스,이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.05.26 ~ 2017.06.02,모범 공무원 경기도 건축디자인 다양화를 위한 국외선진사례 시찰,스페인,8,21.0,2.6,
4100000,경기본청,2017.05.26 ~ 2017.06.03,철도시설물의 입체적 이용을 위한 선진사례 연구,"일본,홍콩",6,23.0,3.8,
4100000,경기본청,2017.05.26 ~ 2017.06.04,모범공무원 도로명주소 활성화 방안 모색을 위한 국외 연수,스페인,3,8.0,2.7,
4100000,경기본청,2017.05.26 ~ 2017.06.08,도시개발 및 관리 환경개선을 위한 우수정책 사례 시찰,"멕시코,브라질,페루",6,41.0,6.8,
4100000,경기본청,2017.05.27 ~ 2017.06.03,지역 IP정책 발전을 위한 사례조사 연수,호주,1,3.0,3.0,
4100000,경기본청,2017.05.27 ~ 2017.06.04,제13기 소방정책관리자과정 국외정책 교육연수 2조,"오스트리아,체코,헝가리",1,4.0,4.0,
4100000,경기본청,2017.05.27 ~ 2017.06.04,제13기 소방정책관리자과정 국외정책 교육연수 1조,"미국,캐나다",3,15.0,5.0,
4100000,경기본청,2017.05.28 ~ 2017.06.02,베트남 경기관광 관광로드쇼 대표단,베트남,2,3.0,1.5,
4100000,경기본청,2017.05.28 ~ 2017.06.05,"독일,프랑스,포르투갈","독일,프랑스,포르투갈",5,25.0,5.0,
4100000,경기본청,2017.05.28 ~ 2017.06.05,브라질 투자유치 실무단,브라질,2,12.0,6.0,
4100000,경기본청,2017.05.29 ~ 2017.06.01,통일대비 역량전문과정 러시아 국외연수,러시아,11,20.0,1.8,
4100000,경기본청,2017.05.29 ~ 2017.06.02,지하안전관리 선진화를 위한 국외연수,일본,9,21.0,2.3,
4100000,경기본청,2017.05.29 ~ 2017.06.04,자원봉사관리자 선진지 자원봉사활동 비교 연수 2차,영국,1,3.0,3.0,
4100000,경기본청,2017.05.29 ~ 2017.06.06,선진 농촌지역축제 우수정책 비교연수,스페인,1,5.0,5.0,
4100000,경기본청,2017.05.30 ~ 2017.06.02,치매관리사업 선진사례 공무 국외연수,일본,2,3.0,1.5,
4100000,경기본청,2017.05.30 ~ 2017.06.02,일본 투자유치 실무단 파견,일본,1,2.0,2.0,
4100000,경기본청,2017.05.30 ~ 2017.06.07,관광 콘텐츠 및 문화체육시설 우수정책 벤치마킹,"독일,스위스,이탈리아",2,8.0,4.0,
4100000,경기본청,2017.05.30 ~ 2017.06.08,선진 재난대응 정책 벤치마킹 국외연수,미국,4,16.0,4.0,
4100000,경기본청,2017.05.30 ~ 2017.06.08,감염병 대응 및 노인 장애인 등 보건복지 분야 우수정책 발굴,"네덜란드,벨기에,노르웨이,독일,룩셈부르크",3,13.0,4.3,
4100000,경기본청,2017.05.31 ~ 2017.06.06,모범공무원 야생동물구조센터 조성 및 생물다양성 보존 선진지 시찰,호주,3,6.0,2.0,
4100000,경기본청,2017.05.31 ~ 2017.06.07,경기도 2층 버스 제작 점검 및 2층 버스 운행선진지 시찰,"독일,스페인",5,20.0,4.0,
4100000,경기본청,2017.05.31 ~ 2017.06.08,저출산 위기극복 선진지 국외연수,"미국,캐나다",4,21.0,5.3,
4100000,경기본청,2017.05.31 ~ 2017.06.08,의료보장제도 선진지 국외연수,"뉴질랜드,호주",2,9.0,4.5,
4100000,경기본청,2017.05.31 ~ 2017.06.09,선진의회 사례연구 국외연수,"스페인,포르투갈",5,24.0,4.8,
4100000,경기본청,2017.05.31 ~ 2017.06.09,시도공무원 우수행정사례 국외연수,미국,1,2.0,2.0,
4100000,경기본청,2017.06.01 ~ 2017.06.02,도 대표단 일본 방문,일본,6,8.0,1.3,도지사
4100000,경기본청,2017.06.01 ~ 2017.06.06,도 청소년 국제교류 대표단,일본,1,1.0,1.0,
4100000,경기본청,2017.06.01 ~ 2017.06.08,모범공무원 평택항 여객활성화 위한 관광시책 시찰,스페인,2,5.0,2.5,
4100000,경기본청,2017.06.01 ~ 2017.06.09,농촌경관업무 담당자 해외연수,"프랑스,스위스",1,5.0,5.0,
4100000,경기본청,2017.06.01 ~ 2017.06.09,연정협력국 유럽 방문,"스위스,스페인,프랑스",2,8.0,4.0,
4100000,경기본청,2017.06.01 ~ 2017.06.09,선진 감사기법 벤치마킹 (A조),"오스트리아,체코,폴란드",4,17.0,4.3,
4100000,경기본청,2017.06.01 ~ 2017.06.09,선진 감사기법 벤치마킹 (B조),"스페인,포르투갈",4,20.0,5.0,
4100000,경기본청,2017.06.01 ~ 2017.06.09,국외 지방정부 의회간 상생협력 사례 비교연수,"덴마크,러시아,스웨덴,핀란드",6,27.0,4.5,
4100000,경기본청,2017.06.02 ~ 2017.06.08,모범공무원 선진 해양관광 국제동향 파악 및 우수사례 시찰,호주,2,4.0,2.0,
4100000,경기본청,2017.06.02 ~ 2017.06.11,경기도 개발 장미 해외 종묘판매 확대를 위한 현지조사,"네덜란드,멕시코,에콰도르",3,19.0,6.3,
4100000,경기본청,2017.06.02 ~ 2017.06.11,장기재직 우수공무원 선진지 환경 분야 관리시스템 벤치마킹,"스페인,포르투갈",5,24.0,4.8,
4100000,경기본청,2017.06.03 ~ 2017.06.10,모범공무원 언론 등을 활용한 관광산업 홍보 국외사례 연수,호주,2,4.0,2.0,
4100000,경기본청,2017.06.03 ~ 2017.06.10,아동여성안전 지역연대 안전 프로그램 선진사례 조사 및 시찰,영국,1,4.0,4.0,
4100000,경기본청,2017.06.04 ~ 2017.06.06,장기 국외훈련기관 MOU 체결,영국,2,6.0,3.0,
4100000,경기본청,2017.06.04 ~ 2017.06.10,도 대표단 영국 러시아 방문,"러시아,영국,러시아,영국",4,29.0,7.3,
4100000,경기본청,2017.06.04 ~ 2017.06.12,모범공무원 지역관광자원 활용 우수사례 국외선진지 시찰,스페인,2,5.0,2.5,
4100000,경기본청,2017.06.04 ~ 2017.06.14,해외 공공기관 스마트워크 도입 벤치마킹 연수,"네덜란드,덴마크,스웨덴",5,26.0,5.2,
4100000,경기본청,2017.06.05 ~ 2017.06.09,중국 지린성 농업과학원과의 농업 과학기술교류 공무국외 출장,중국,3,2.0,0.7,
4100000,경기본청,2017.06.05 ~ 2017.06.09,GBC 러시아 이전개소 관련 실무단,러시아,1,3.0,3.0,
4100000,경기본청,2017.06.05 ~ 2017.06.10,국제 환경오염 및 복원학회 참가,이탈리아,2,5.0,2.5,
4100000,경기본청,2017.06.05 ~ 2017.06.10,경기도 보건의료대표단 러시아 공무국외 출장,러시아,3,9.0,3.0,
4100000,경기본청,2017.06.05 ~ 2017.06.16,조지아대학교 특별정책훈련 연수,미국,1,2.0,2.0,
4100000,경기본청,2017.06.06 ~ 2017.06.10,미국 버지니아주 정책협의회 실무단,미국,4,20.0,5.0,
4100000,경기본청,2017.06.06 ~ 2017.06.14,경기도 공무원 교육훈련 기본계획 수립 해외사례 조사,"독일,프랑스",4,12.0,3.0,
4100000,경기본청,2017.06.07 ~ 2017.06.10,경기도 2층 버스 제작지 현지 시찰,대만,2,3.0,1.5,
4100000,경기본청,2017.06.07 ~ 2017.06.15,노숙인 등의 복지사업 담당공무원 공무국외 출장,"이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.06.07 ~ 2017.06.15,지방자치 선진 해외사례 연수계획,"독일,스위스",3,13.0,4.3,
4100000,경기본청,2017.06.07 ~ 2017.06.16,건축자산의 효과적 활용방안 선진사례 연구,"영국,프랑스",4,19.0,4.8,
4100000,경기본청,2017.06.07 ~ 2017.06.16,국비확보 및 재정사업평가 선진지 국외연수,"미국,캐나다",14,64.0,4.6,
4100000,경기본청,2017.06.07 ~ 2017.06.16,선진지 재난관리실태 벤치마킹 국외연수 1조,"독일,스위스,이탈리아",3,14.0,4.7,
4100000,경기본청,2017.06.08 ~ 2017.06.15,공공청사 및 복합 문화시설 선진사례 연구,미국,4,19.0,4.8,
4100000,경기본청,2017.06.08 ~ 2017.06.16,모범공무원 선진지 도시환경관리 사례 시찰,"독일,오스트리아,체코,헝가리",6,15.0,2.5,
4100000,경기본청,2017.06.11 ~ 2017.06.16,선진지 재난관리실태 벤치마킹 국외 연수,이탈리아,1,6.0,6.0,
4100000,경기본청,2017.06.11 ~ 2017.06.18,드림스타트 사업 국외 연수,"미국,캐나다",1,4.0,4.0,
4100000,경기본청,2017.06.11 ~ 2017.06.19,장기재직 우수공무원 선진지 평생교육 문화 등 벤치마킹,이탈리아,1,3.0,3.0,
4100000,경기본청,2017.06.12 ~ 2017.06.17,경기도 모범 화재조사관 국외연수,일본,5,8.0,1.6,
4100000,경기본청,2017.06.13 ~ 2017.06.15,중국 투자유치 실무단 파견,중국,2,2.0,1.0,
4100000,경기본청,2017.06.14 ~ 2017.06.16,베트남 호치민 K뷰티 엑스포 참가,베트남,1,1.0,1.0,
4100000,경기본청,2017.06.14 ~ 2017.06.18,베트남 호치민 유학박람회 참가,베트남,2,2.0,1.0,
4100000,경기본청,2017.06.14 ~ 2017.06.21,경기상상캠퍼스 조성 선진사례 벤치마킹 전담관 정책기획 연수,"독일,프랑스",4,19.0,4.8,
4100000,경기본청,2017.06.14 ~ 2017.06.23,2017 세외수입운영 종합평가 우수공무원 국외연수 1팀,"미국,캐나다,미국",1,5.0,5.0,
4100000,경기본청,2017.06.14 ~ 2017.06.23,철도터널 재난대응 벤치마킹,"스위스,일본",4,20.0,5.0,
4100000,경기본청,2017.06.14 ~ 2017.06.23,2017 세외수입운영 종합평가 우수공무원 국외연수 2팀,"프랑스,이탈리아",2,10.0,5.0,
4100000,경기본청,2017.06.14 ~ 2017.06.23,장기재직 우수공무원 선진지 전기안전시설시스템 벤치마킹,"영국,스위스,이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.06.16 ~ 2017.06.23,미래 조림수종 개발을 위한 선진지 연수,"오스트리아,헝가리",1,2.0,2.0,
4100000,경기본청,2017.06.17 ~ 2017.06.23,국제학술회의 개최 관련 사전협의,"아일랜드,영국",1,3.0,3.0,
4100000,경기본청,2017.06.17 ~ 2017.06.24,장기재직 우수공무원 공공청사의 역할 및 공직자의 근무환경 선진사례 국외시찰,"노르웨이,덴마크,스웨덴,핀란드",1,4.0,4.0,
4100000,경기본청,2017.06.17 ~ 2017.06.24,모범공무원 세계유산관리 정책관련 국외시찰,"라오스,베트남,캄보디아",12,26.0,2.2,
4100000,경기본청,2017.06.17 ~ 2017.06.24,산림자원조성과정 해외연수,"노르웨이,스웨덴,핀란드",1,4.0,4.0,
4100000,경기본청,2017.06.18 ~ 2017.06.26,국외통일교육 아카데미 독일반,독일,10,29.0,2.9,
